Symbol,Name,Country,IPO Year,Volume,Sector,Industry
BALY,Bally's Corporation,NA,2019,320541,Consumer Services,Hotels/Resorts
BAM,Brookfield Asset Management Inc.,Canada,NA,1817376,Consumer Services,Building operators
BANC,Banc of California Inc.,United States,NA,205372,Finance,Major Banks
BAP,Credicorp Ltd.,Peru,NA,616681,Finance,Commercial Banks
BAX,Baxter International Inc.,United States,NA,1017044,Health Care,Medical/Dental Instruments
BB,BlackBerry Limited,Canada,NA,16098495,Technology,Computer Software: Prepackaged Software
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,Spain,NA,1349699,Finance,Commercial Banks
BBW,Build-A-Bear Workshop Inc.,United States,2004,317391,Consumer Services,Recreational Products/Toys
BBY,Best Buy Co. Inc.,United States,NA,2502304,Consumer Services,Consumer Electronics/Video Chains
BC,Brunswick Corporation,United States,NA,721589,Energy,Industrial Machinery/Components
BCC,Boise Cascade L.L.C.,United States,2013,326406,Consumer Services,RETAIL: Building Materials
BCE,BCE Inc.,Canada,NA,851312,Public Utilities,Telecommunications Equipment
BCS,Barclays PLC,United Kingdom,NA,4169499,Finance,Commercial Banks
BDC,Belden Inc,United States,NA,242977,Basic Industries,Telecommunications Equipment
BDN,Brandywine Realty Trust,United States,NA,1973415,Consumer Services,Real Estate Investment Trusts
BDX,Becton Dickinson and Company,United States,NA,772491,Health Care,Medical/Dental Instruments
BEN,Franklin Resources Inc.,United States,NA,1777891,Finance,Investment Managers
BERY,Berry Global Group Inc.,United States,2012,704692,Consumer Non-Durables,Plastic Products
BFAM,Bright Horizons Family Solutions Inc.,United States,2013,711023,Miscellaneous,Other Consumer Services
BFLY,Butterfly Network Inc. Class A,NA,2020,2739340,Health Care,Medical Electronics
BFS,Saul Centers Inc.,United States,1993,30891,Consumer Services,Real Estate Investment Trusts
BGS,B&G Foods Inc. B&G Foods Inc.,United States,NA,876420,Consumer Non-Durables,Packaged Foods
BH,Biglari Holdings Inc. Class B,United States,2018,3228,Consumer Services,Restaurants
BHC,Bausch Health Companies Inc.,Canada,NA,1621583,Health Care,Major Pharmaceuticals
BHE,Benchmark Electronics Inc.,United States,NA,142585,Technology,Electrical Products
BIO,Bio-Rad Laboratories Inc. Class A,United States,NA,105541,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BJ,BJ's Wholesale Club Holdings Inc.,United States,2018,1411585,Consumer Services,Department/Specialty Retail Stores
BK,The Bank of New York Mellon Corporation,United States,NA,3351646,Finance,Major Banks
BKD,Brookdale Senior Living Inc.,United States,2005,1641766,Health Care,Hospital/Nursing Management
BKE,Buckle Inc. (The),United States,NA,608402,Consumer Services,Clothing/Shoe/Accessory Stores
BKH,Black Hills Corporation,United States,NA,269003,Public Utilities,Electric Utilities: Central
BKI,Black Knight Inc.,NA,2017,589146,Technology,Computer Software: Prepackaged Software
BKR,Baker Hughes Company Class A,NA,2017,6555935,Energy,Metal Fabrications
BKU,BankUnited Inc.,United States,2011,412005,Finance,Savings Institutions
BLD,TopBuild Corp.,United States,2015,197862,Basic Industries,Engineering & Construction
BLK,BlackRock Inc.,United States,1999,477117,Finance,Investment Bankers/Brokers/Service
BLL,Ball Corporation,United States,NA,1687241,Consumer Durables,Containers/Packaging
BMI,Badger Meter Inc.,United States,NA,262675,Capital Goods,Industrial Machinery/Components
BMO,Bank Of Montreal,Canada,NA,557974,Finance,Commercial Banks
BMY,Bristol-Myers Squibb Company,United States,NA,11794015,Health Care,Major Pharmaceuticals
BNED,Barnes & Noble Education Inc,United States,2015,409824,Consumer Services,Other Specialty Stores
BOH,Bank of Hawaii Corporation,United States,NA,136507,Finance,Major Banks
BOOT,Boot Barn Holdings Inc.,United States,2014,360035,Consumer Services,Clothing/Shoe/Accessory Stores
BP,BP p.l.c.,United Kingdom,NA,15511127,Energy,Integrated oil Companies
BRBR,BellRing Brands Inc. Class A,United States,2019,183961,Consumer Non-Durables,Packaged Foods
BRC,Brady Corporation,United States,NA,125285,Consumer Durables,Miscellaneous manufacturing industries
BRO,Brown & Brown Inc.,United States,NA,663964,Finance,Specialty Insurers
BRX,Brixmor Property Group Inc.,NA,2013,1214315,Consumer Services,Real Estate Investment Trusts
BSIG,BrightSphere Investment Group Inc.,United Kingdom,2014,498944,Finance,Investment Managers
BSX,Boston Scientific Corporation,United States,NA,4861375,Health Care,Medical/Dental Instruments
BTI,British American Tobacco  Industries p.l.c. ADR,United Kingdom,NA,1930271,Consumer Non-Durables,Farming/Seeds/Milling
BTU,Peabody Energy Corporation,United States,2017,2432826,Energy,Coal Mining
BURL,Burlington Stores Inc.,NA,2013,479110,Consumer Services,Department/Specialty Retail Stores
BV,BrightView Holdings Inc.,United States,2018,163260,Consumer Non-Durables,Farming/Seeds/Milling
BW,Babcock & Wilcox Enterprises Inc.,United States,2015,648873,Capital Goods,Building Products
BWA,BorgWarner Inc.,United States,NA,2493352,Capital Goods,Auto Parts:O.E.M.
BWXT,BWX Technologies Inc.,United States,NA,242769,Energy,Industrial Machinery/Components
BX,The Blackstone Group Inc.,United States,2007,2211717,Finance,Investment Managers
BXC,Bluelinx Holdings Inc.,United States,2004,150656,Capital Goods,Wholesale Distributors
BXMT,Blackstone Mortgage Trust Inc.,United States,NA,702523,Consumer Services,Real Estate Investment Trusts
BXP,Boston Properties Inc.,United States,1997,856372,Consumer Services,Real Estate Investment Trusts
BYD,Boyd Gaming Corporation,United States,1993,517121,Consumer Services,Hotels/Resorts
C,Citigroup Inc.,United States,NA,13993359,Finance,Major Banks
CABO,Cable One Inc.,United States,2015,28168,Consumer Services,Television Services
CACI,CACI International Inc. Class A,United States,NA,205763,Technology,EDP Services
CADE,Cadence Bancorporation Class A,United States,2017,670631,Finance,Major Banks
CAG,ConAgra Brands Inc.,United States,NA,4259684,Consumer Non-Durables,Packaged Foods
CAH,Cardinal Health Inc.,United States,NA,1288139,Health Care,Other Pharmaceuticals
CAI,CAI International Inc.,United States,NA,162791,Technology,Diversified Commercial Services
CAL,Caleres Inc.,United States,NA,273578,Consumer Non-Durables,Shoe Manufacturing
CALX,Calix Inc,United States,2010,977121,Consumer Services,Telecommunications Equipment
CARR,Carrier Global Corporation,NA,2020,6117331,Capital Goods,Industrial Machinery/Components
CAS,Cascade Acquisition Corp. Class A,NA,2021,6661,Finance,Business Services
CAT,Caterpillar Inc.,United States,NA,2448223,Capital Goods,Construction/Ag Equipment/Trucks
CATO,Cato Corporation (The) Class A,United States,NA,221608,Consumer Services,Clothing/Shoe/Accessory Stores
CB,Chubb Limited,Switzerland,NA,1256135,Finance,Property-Casualty Insurers
CBRE,CBRE Group Inc Class A,United States,NA,1786878,Finance,Real Estate
CBT,Cabot Corporation,United States,NA,216301,Basic Industries,Major Chemicals
CBU,Community Bank System Inc.,United States,NA,289788,Finance,Major Banks
CC,Chemours Company (The),United States,2015,731866,Basic Industries,Major Chemicals
CCIV,Churchill Capital Corp IV Class A,United States,2020,15256645,Capital Goods,Auto Manufacturing
CCJ,Cameco Corporation,Canada,1996,3630633,Basic Industries,Precious Metals
CCL,Carnival Corporation,United States,1987,70852851,Consumer Services,Marine Transportation
CCO,Clear Channel Outdoor Holdings Inc.,United States,2005,1777164,Consumer Services,Advertising
CCS,Century Communities Inc.,United States,2014,483724,Capital Goods,Homebuilding
CCX,Churchill Capital Corp II Class A,NA,2019,1237703,Technology,Computer Software: Prepackaged Software
CDAY,Ceridian HCM Holding Inc.,United States,2018,963279,Technology,Computer Software: Prepackaged Software
CDE,Coeur Mining Inc.,United States,NA,2245013,Basic Industries,Precious Metals
CDR,Cedar Realty Trust Inc.,United States,NA,45404,Consumer Services,Real Estate Investment Trusts
CE,Celanese Corporation Celanese Corporation,United States,2005,689102,Basic Industries,Major Chemicals
CEA,China Eastern Airlines Corporation Ltd.,China,1997,4269,Transportation,Air Freight/Delivery Services
CEIX,CONSOL Energy Inc.,NA,2017,449241,Energy,Coal Mining
CF,CF Industries Holdings Inc.,United States,2005,1211188,Basic Industries,Agricultural Chemicals
CFG,Citizens Financial Group Inc.,United States,2014,2948568,Finance,Major Banks
CFR,Cullen/Frost Bankers Inc.,United States,NA,215379,Finance,Major Banks
CFX,Colfax Corporation,United States,2008,895276,Capital Goods,Fluid Controls
CHD,Church & Dwight Company Inc.,United States,NA,1278675,Basic Industries,Package Goods/Cosmetics
CHGG,Chegg Inc.,NA,2013,863037,Consumer Services,Other Consumer Services
CHH,Choice Hotels International Inc.,United States,NA,302138,Consumer Services,Hotels/Resorts
CHPT,ChargePoint Holdings Inc.,NA,2019,9272498,Capital Goods,Industrial Specialties
CHS,Chico's FAS Inc.,United States,NA,1374724,Consumer Services,Clothing/Shoe/Accessory Stores
CHWY,Chewy Inc. Class A,NA,2019,2364912,Consumer Services,Catalog/Specialty Distribution
CI,Cigna Corporation,United States,NA,1358786,Health Care,Medical Specialities
CIA,Citizens Inc. Class A ($1.00 Par),United States,NA,96978,Finance,Life Insurance
CIEN,Ciena Corporation,United States,1997,729376,Public Utilities,Telecommunications Equipment
CIM,Chimera Investment Corporation,United States,2007,991051,Consumer Services,Real Estate Investment Trusts
CIO,City Office REIT Inc.,NA,2014,288397,Consumer Services,Real Estate Investment Trusts
CIR,CIRCOR International Inc.,United States,NA,88961,Capital Goods,Metal Fabrications
CIT,CIT Group Inc (DEL),United States,NA,610917,Finance,Major Banks
CL,Colgate-Palmolive Company,United States,NA,5027804,Consumer Non-Durables,Package Goods/Cosmetics
CLAS,Class Acceleration Corp. Class A,NA,2021,26193,Finance,Business Services
CLB,Core Laboratories N.V.,Netherlands,1995,339269,Energy,Oilfield Services/Equipment
CLDR,Cloudera Inc.,Canada,2017,2627792,Technology,Computer Software: Prepackaged Software
CLF,Cleveland-Cliffs Inc.,United States,NA,17569671,Basic Industries,Precious Metals
CLGX,CoreLogic Inc.,United States,NA,285267,Technology,EDP Services
CLI,Mack-Cali Realty Corporation,United States,NA,401021,Consumer Services,Real Estate Investment Trusts
CLII,Climate Change Crisis Real Impact I Acquisition Corporation Class A,United States,2020,1054658,Consumer Services,Automotive Aftermarket
CLNC,Colony Credit Real Estate Inc. Class A,NA,2018,337237,Consumer Services,Real Estate Investment Trusts
CLR,Continental Resources Inc.,United States,2007,1530402,Energy,Oil & Gas Production
CLS,Celestica Inc.,Canada,1998,130534,Technology,Electrical Products
CLW,Clearwater Paper Corporation,United States,NA,225616,Basic Industries,Paper
CLX,Clorox Company (The),United States,NA,1429437,Consumer Durables,Specialty Chemicals
CM,Canadian Imperial Bank of Commerce,Canada,NA,319139,Finance,Commercial Banks
CMA,Comerica Incorporated,United States,NA,848375,Finance,Major Banks
CMC,Commercial Metals Company,United States,NA,897150,Basic Industries,Steel/Iron Ore
CMD,Cantel Medical Corp.,United States,NA,341490,Health Care,Medical/Dental Instruments
CMG,Chipotle Mexican Grill Inc.,United States,2006,523009,Consumer Services,Restaurants
CMI,Cummins Inc.,United States,NA,772438,Energy,Industrial Machinery/Components
CMO,Capstead Mortgage Corporation,United States,NA,669037,Consumer Services,Real Estate Investment Trusts
CMP,Compass Minerals Intl Inc,United States,2003,107057,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CMRE,Costamare Inc. $0.0001 par value,Greece,2010,806225,Transportation,Marine Transportation
CMS,CMS Energy Corporation,United States,NA,1574458,Public Utilities,Power Generation
CNA,CNA Financial Corporation,United States,NA,143807,Finance,Property-Casualty Insurers
CNC,Centene Corporation,United States,NA,2723515,Health Care,Medical Specialities
CNI,Canadian National Railway Company,Canada,NA,441554,Transportation,Railroads
CNK,Cinemark Holdings Inc Cinemark Holdings Inc.,United States,2007,3022204,Consumer Services,Movies/Entertainment
CNMD,CONMED Corporation,United States,1987,208102,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNQ,Canadian Natural Resources Limited,Canada,NA,2289503,Energy,Oil & Gas Production
CNS,Cohen & Steers Inc,United States,2004,88638,Finance,Investment Managers
CNX,CNX Resources Corporation,United States,1999,2320745,Energy,Oil & Gas Production
COF,Capital One Financial Corporation,United States,1994,1805316,Finance,Major Banks
COG,Cabot Oil & Gas Corporation,United States,1990,5053349,Energy,Oil & Gas Production
COO,The Cooper Companies Inc.,United States,NA,354729,Health Care,Ophthalmic Goods
COP,ConocoPhillips,United States,NA,12405068,Energy,Integrated oil Companies
COR,CoreSite Realty Corporation,United States,2010,311685,Consumer Services,Real Estate Investment Trusts
COTY,Coty Inc. Class A,United States,2013,5899781,Consumer Non-Durables,Package Goods/Cosmetics
COUR,Coursera Inc.,NA,2021,3249211,Technology,Computer Software: Prepackaged Software
CP,Canadian Pacific Railway Limited,Canada,NA,381850,Transportation,Railroads
CPA,Copa Holdings S.A. Copa Holdings S.A. Class A,Panama,2005,191508,Transportation,Air Freight/Delivery Services
CPB,Campbell Soup Company,United States,NA,2376556,Consumer Non-Durables,Packaged Foods
CPE,Callon Petroleum Company,United States,NA,2168906,Energy,Oil & Gas Production
CPLG,CorePoint Lodging Inc.,NA,2018,130788,Consumer Services,Real Estate Investment Trusts
CPNG,Coupang Inc. Class A,NA,2021,3605026,Consumer Services,Catalog/Specialty Distribution
CPS,Cooper-Standard Holdings Inc.,United States,NA,113197,Capital Goods,Auto Parts:O.E.M.
CPT,Camden Property Trust,United States,1993,647655,Consumer Services,Real Estate Investment Trusts
CR,Crane Co.,United States,NA,183012,Capital Goods,Metal Fabrications
CRC,California Resources Corporation,NA,2020,272381,Energy,Oil & Gas Production
CRI,Carter's Inc.,United States,2003,510406,Consumer Non-Durables,Apparel
CRK,Comstock Resources Inc.,United States,NA,974245,Energy,Oil & Gas Production
CRL,Charles River Laboratories International Inc.,United States,2000,451464,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,Salesforce.com Inc,United States,2004,4401542,Technology,Computer Software: Prepackaged Software
CRS,Carpenter Technology Corporation,United States,NA,180707,Basic Industries,Steel/Iron Ore
CRU,Crucible Acquisition Corporation Class A,NA,2021,33907,Finance,Business Services
CRY,CryoLife Inc.,United States,NA,92286,Health Care,Medical/Dental Instruments
CSL,Carlisle Companies Incorporated,United States,NA,446181,Basic Industries,Specialty Chemicals
CSLT,Castlight Health Inc. Class B,NA,2014,949535,Technology,EDP Services
CSPR,Casper Sleep Inc.,NA,2020,285159,Consumer Durables,Home Furnishings
CSU,Capital Senior Living Corporation,United States,1997,10030,Health Care,Hospital/Nursing Management
CSV,Carriage Services Inc.,United States,NA,83250,Consumer Services,Other Consumer Services
CTB,Cooper Tire & Rubber Company,United States,NA,406679,Consumer Durables,Automotive Aftermarket
CTLT,Catalent Inc.,United States,2014,708594,Health Care,Major Pharmaceuticals
CTO,CTO Realty Growth Inc.,United States,NA,64606,Consumer Services,Real Estate Investment Trusts
CTOS,Custom Truck One Source Inc.,Cayman Islands,2017,247636,Technology,Diversified Commercial Services
CTS,CTS Corporation,United States,NA,95925,Technology,Electrical Products
CTVA,Corteva Inc.,NA,2019,2208871,Consumer Non-Durables,Farming/Seeds/Milling
CUB,Cubic Corporation,United States,NA,212489,Capital Goods,Industrial Machinery/Components
CUBI,Customers Bancorp Inc,United States,NA,209370,Finance,Major Banks
CULP,Culp Inc.,United States,NA,17155,Basic Industries,Textiles
CUZ,Cousins Properties Incorporated,United States,NA,748454,Consumer Services,Real Estate Investment Trusts
CVA,Covanta Holding Corporation,United States,NA,428389,Basic Industries,Electric Utilities: Central
CVE,Cenovus Energy Inc,Canada,NA,5110807,Energy,Oil & Gas Production
CVI,CVR Energy Inc.,United States,2007,405757,Energy,Integrated oil Companies
CVNA,Carvana Co. Class A,United States,2017,771139,Consumer Durables,Automotive Aftermarket
CVS,CVS Health Corporation,United States,NA,5135220,Health Care,Medical/Nursing Services
CVX,Chevron Corporation,United States,NA,7697719,Energy,Integrated oil Companies
CW,Curtiss-Wright Corporation,United States,NA,154995,Technology,Industrial Machinery/Components
CWEN,Clearway Energy Inc. Class C,United States,2015,709008,Public Utilities,Electric Utilities: Central
CWT,California Water Service Group,United States,NA,205754,Public Utilities,Water Supply
CXP,Columbia Property Trust Inc.,United States,2013,525328,Consumer Services,Real Estate Investment Trusts
CXW,CoreCivic Inc.,United States,NA,12731381,Consumer Services,Real Estate Investment Trusts
CYH,Community Health Systems Inc.,United States,2000,2725612,Health Care,Hospital/Nursing Management
DAL,Delta Air Lines Inc.,United States,NA,12227159,Transportation,Air Freight/Delivery Services
DAN,Dana Incorporated,United States,NA,1310980,Capital Goods,Auto Parts:O.E.M.
DAR,Darling Ingredients Inc.,United States,NA,844771,Consumer Non-Durables,Packaged Foods
DASH,DoorDash Inc. Class A,NA,2020,1866098,Miscellaneous,Business Services
DB,Deutsche Bank AG,Germany,NA,2993550,Finance,Major Banks
DBD,Diebold Nixdorf Incorporated,United States,NA,555157,Miscellaneous,Office Equipment/Supplies/Services
DBI,Designer Brands Inc. Class A,United States,NA,796179,Consumer Services,Clothing/Shoe/Accessory Stores
DCI,Donaldson Company Inc.,United States,NA,307997,Capital Goods,Pollution Control Equipment
DCO,Ducommun Incorporated,United States,NA,54487,Capital Goods,Military/Government/Technical
DDD,3D Systems Corporation,United States,NA,2737944,Technology,Computer Software: Prepackaged Software
DDS,Dillard's Inc.,United States,NA,182708,Consumer Services,Department/Specialty Retail Stores
DE,Deere & Company,United States,NA,1299299,Capital Goods,Industrial Machinery/Components
DEA,Easterly Government Properties Inc.,United States,2015,736116,Consumer Services,Real Estate Investment Trusts
DECK,Deckers Outdoor Corporation,United States,1993,187155,Consumer Non-Durables,Shoe Manufacturing
DEI,Douglas Emmett Inc.,United States,2006,820179,Consumer Services,Real Estate Investment Trusts
DELL,Dell Technologies Inc. Class C,NA,2018,2845372,Technology,Computer Manufacturing
DEN,Denbury Inc.,NA,2020,1255271,Energy,Oil & Gas Production
DEO,Diageo plc,United Kingdom,NA,318811,Consumer Non-Durables,Beverages (Production/Distribution)
DFIN,Donnelley Financial Solutions Inc.,NA,2016,139084,Consumer Services,Other Consumer Services
DFS,Discover Financial Services,United States,NA,1294739,Finance,Finance: Consumer Services
